ASIN,产品中文名,销量,销售额,订单数,日均销量,Vine赠品销量(已扣除),可售,入库中,不可售,预留,FBA总量,包装尺寸1(长×宽×高cm),包装尺寸2(长×宽×高cm),包装类型1,包装类型2,单品重量(g),产品图片,销售数据截止,库存数据截止
B0H36VYNDC,,71,1064.29,66,2.37,0,71,292,0,4,367,5×5×44,,,,181,,2026-08-05,2026-08-06T06:00:06.596Z
B0H453GHTS,,29,559.72,29,0.97,0,0,0,0,1,1,23×9×4,,,,122,,2026-08-05,2026-08-06T06:00:06.596Z
B0H454WDFF,,13,259.87,13,0.43,0,28,0,0,0,28,23×9×4,,,,122,,2026-08-05,2026-08-06T06:00:06.596Z
B0H45JL95Q,,28,404.73,27,0.93,12,26,21,0,15,62,22×9×1.3,,,,50,,2026-08-05,2026-08-06T06:00:06.596Z
B0H4BBYVR9,,7,90.93,7,0.23,9,41,3,0,0,44,23.5×12×4,,,,230,,2026-08-05,2026-08-06T06:00:06.596Z
B0H4GMWHNQ,,177,1558.44,176,5.90,22,0,0,0,27,27,1×1×1,,,,240,,2026-08-05,2026-08-06T06:00:06.596Z
B0H4GQMV11,,46,409.59,46,1.53,14,86,0,0,10,96,16.5×8×8,,,,180,,2026-08-05,2026-08-06T06:00:06.596Z
B0H4GRQNW5,,4,50.97,4,0.13,9,37,0,0,1,38,16.5×16×8,,,,360,,2026-08-05,2026-08-06T06:00:06.596Z
B0H4GSWH3T,,1,13.99,1,0.03,6,43,0,0,0,43,16×13×8,18×9.3×12.2,,瓦楞盒,406,,2026-08-05,2026-08-06T06:00:06.596Z
B0H4GTCBH2,,4,31.96,4,0.13,5,91,0,0,1,92,14.5×8×8,,,,200,,2026-08-05,2026-08-06T06:00:06.596Z
B0H4GWDVHD,,47,419.58,47,1.57,23,27,0,0,7,34,14.5×14×8,,,,370,,2026-08-05,2026-08-06T06:00:06.596Z
B0H5Q7T54W,,1,16.99,1,0.03,10,65,4,0,0,69,,,,,460,,2026-08-05,2026-08-06T06:00:06.596Z
B0H5QCYCV4,,53,688.47,53,1.77,3,0,4,0,0,4,23.5×12×4,,,,230,,2026-08-05,2026-08-06T06:00:06.596Z
B0H5RKCN5B,,5,44.97,5,0.17,30,27,154,0,36,217,,,,,100,,2026-08-05,2026-08-06T06:00:06.596Z
B0H5W4HJGM,,44,506.61,44,1.47,8,3,2,0,6,11,23.5×12×4,,,,230,,2026-08-05,2026-08-06T06:00:06.596Z
B0H6V2TXYM,,6,89.94,6,0.20,10,54,33,0,50,137,15×9×7,,,,250,,2026-08-05,2026-08-06T06:00:06.596Z
B0H6XH6KNV,,2,16.99,2,0.07,3,25,12,0,22,59,,,,,,,2026-08-05,2026-08-06T06:00:06.596Z
B0H6XH6RLN,,0,0.00,0,0.00,7,25,12,0,19,56,,,,,,,2026-08-05,2026-08-06T06:00:06.596Z
B0H7JL7WTR,,1,0.00,1,0.03,0,0,120,0,0,120,,,,,900,,2026-08-05,2026-08-06T06:00:06.596Z
