店铺,ASIN,FNSKU,商品标题,产品中文名,销量,销售额,订单数,日均销量,Vine赠品销量(已扣除),可售,入库中,不可售,预留,FBA总量,包装尺寸1(长×宽×高cm),包装尺寸2(长×宽×高cm),包装类型1,包装类型2,单品重量(g),图片URL,产品图片1,产品图片2,销售数据截止,库存数据截止
TZH-主店二号,B0GWHY7DZR,X0052G8FHN,Gripper Seat Cover Compatible with Yozma IN10 Electric Dirt Bike(Black),,39,739.63,38,1.30,0,295,45,0,3,343,23×9×4,,,,122,https://m.media-amazon.com/images/I/41XMpvUbjfL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GWMTGJ45,X0052JAGOF,Gripper Seat Cover Compatible with Yozma IN10 Electric Dirt Bike(Orange),,1,19.99,1,0.03,0,42,0,0,1,43,23×9×4,23×9×4,,,122,https://m.media-amazon.com/images/I/41I6YzkMpjL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GWZ1JMYS,X0052NZQ8R,Gripper Seat Cover Compatible with Yozma IN10 Electric Dirt Bike(White),,34,659.67,34,1.13,0,93,20,0,43,156,23×9×4,,,,122,https://m.media-amazon.com/images/I/41q+ZTYGKzL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GXKN1R6F,X0052YNV7T,"Replacement Glass Straw Compatible with Ninja BlendBOSS Smoothie Blender Travel Tumbler, Reusable & Durable Clear Straw with Cleaning Brush Fit for Ninja BlendBOSS 26oz Cup (1 Pack)",,0,0.00,0,0.00,0,0,0,0,22,22,28×7×1.8,15×8×1.7,,,87,https://m.media-amazon.com/images/I/31ABFzcgpKL.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-04-17/3c2eed62-0463-4e11-903e-25522ee6fc30.png,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GXKNL93X,X0052YAT2J,"Replacement Glass Straw Compatible with Ninja BlendBOSS Smoothie Blender Travel Tumbler, Reusable & Durable Clear Straw with Cleaning Brush Fit for Ninja BlendBOSS 26oz Cup (2 Pack)",,0,0.00,0,0.00,0,4,0,0,15,19,28×7×1.8,15×8×1.7,,,112,https://m.media-amazon.com/images/I/31ABFzcgpKL.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-04-17/5a9b2ae7-260e-45bf-9364-3189d396711a.png,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GY94BD4W,X00539UWW5,Stainless Steel Inner Pot Compatible with Zojirushi NS-TSC10 Rice Cooker,,62,1507.42,62,2.07,0,4,130,0,13,147,21×21×12,,瓦楞盒,,700,https://m.media-amazon.com/images/I/31JYhvIWCiL.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-08-07/523076f6-c01a-45df-94d6-269e0e6aea1b.jpg,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GYDS1VWD,X0053C1S9X,"24 Pack Charm Chain for Purse, Gold Swivel Snap Hook Keychain, Alloy Bag Charm Chain for DIY Jewelry Making",,59,231.42,54,1.97,0,0,0,0,26,26,9.5×6.5×1.6,,,,120,https://m.media-amazon.com/images/I/51+85GJ-kPL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GYF9RK5Y,X0053EDTOD,"Card Grading Submission Kit for PSA, BGS, SGC, CGC with Foam Shipping Box",,155,2818.59,143,5.17,0,6,272,0,81,359,25×19×10,,瓦楞盒,,456,https://m.media-amazon.com/images/I/41ScUXPF+uL.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-08-07/95284ceb-8f31-4a58-b62f-1a0227f85e2a.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-08-07/195bc336-35c9-4002-aa27-46487ab5f607.jpg,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GZW586ZF,X0053ZHYD9,"Wearable Breast Pump Case Compatible with Eufy E20 S1, Holds 2 Pumps",,46,899.55,46,1.53,20,0,232,0,19,251,1×1×1,,白卡扣底盒,,200,https://m.media-amazon.com/images/I/41B5ztFXA8L.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-08-07/8c38391e-ab1e-483d-b40a-d453de15201c.jpg,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H25MK5M8,X0054DI2EP,"4 Pack Rear Shock Absorber Cover for eBike & Dirt Bike, 10.62 Inch",,17,139.86,15,0.57,1,108,1,0,4,113,28×11×4,15×11×6,,,122,https://m.media-amazon.com/images/I/41dDjUKGLpL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H35Z5GV8,X0054XFGDZ,8 Pack Clear Mahjong Card Sleeves Compatible with NMJL Scorecard,,199,1908.09,181,6.63,0,91,290,0,16,397,16×13.75×1.3,,自封PP袋,,185,https://m.media-amazon.com/images/I/31wnZiFFW9L.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-08-07/7f62d04a-6097-42e8-9ad4-02de329b6ef1.jpg,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H366YPGD,X0054XIHZT,12 Pack All-Around Protective Kit Compatible with Garmin Forerunner 165,,84,819.18,80,2.80,0,91,101,0,5,197,15.5×11.5×1.8,,,,40,https://m.media-amazon.com/images/I/41aYSxkrh2L.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H36KW9N8,X0054XU4AF,"2 Pack Squeeze Dish Soap Dispenser, 12 oz Refillable Leak-Proof Bottle",,135,499.50,131,4.50,0,0,395,0,50,445,16×6×12,,白卡盒,,100,https://m.media-amazon.com/images/I/31UCP+u4DSL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H36NTQY2,X00552QZH1,22PCS Breast Pump Replacement Parts Compatible with Eufy E10/E20/S1/S1 Pro,,84,1481.22,82,2.80,29,39,0,0,6,45,18.5×12.5×4.2,,塑料盒,,195,https://m.media-amazon.com/images/I/41weYSmFiaL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H36VYNDC,X0054XY56T,"2 Pack Blank Needlepoint Canvas 13 Mesh 19"" x 17"", Cotton Embroidery Fabric",,67,944.37,61,2.23,0,65,472,0,4,541,5×5×44,,,,181,https://m.media-amazon.com/images/I/31PhzghMXQL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H451QSK6,X0055BKJUB,Gripper Seat Cover Compatible with Yozma IN10 Electric Dirt Bike(Yellow),,1,19.99,1,0.03,0,42,0,0,0,42,23×9×4,,,,122,https://m.media-amazon.com/images/I/41RgX7VvLpL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H451T7PF,X0055BN6MJ,Gripper Seat Cover Compatible with Yozma IN10 Electric Dirt Bike(Green),,2,39.98,2,0.07,0,41,0,0,0,41,23×9×4,,,,122,https://m.media-amazon.com/images/I/41+0LEpGFyL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H453GHTS,X0055BLPSV,Gripper Seat Cover Compatible with Yozma IN10 Electric Dirt Bike(Purple),,23,459.77,23,0.77,0,0,0,0,0,0,23×9×4,,,,122,https://m.media-amazon.com/images/I/41XMpvUbjfL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H454WDFF,X0055BK6HR,Gripper Seat Cover Compatible with Yozma IN10 Electric Dirt Bike (Blue),,10,179.91,10,0.33,0,27,0,0,1,28,23×9×4,,,,122,https://m.media-amazon.com/images/I/41lP5fxCLgL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H45JL95Q,X0055CF7O3,"4-Pack Heavy-Duty Replacement Fans for Snap Circuits, 3D Printed Propeller",,36,494.67,34,1.20,16,15,201,0,5,221,22×9×1.3,,,,50,https://m.media-amazon.com/images/I/41JCqalCxKL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H4BBYVR9,X0055CFEOB,2 Pack Replacement Flip Straw Lid Only for HydroJug 40 oz Tumbler (Black),,9,103.92,9,0.30,11,39,60,0,1,100,23.5×12×4,,飞机盒,,230,https://m.media-amazon.com/images/I/41lPkbBauML.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H4GMWHNQ,X0055EJNKZ,"8 Pack Kpop Lightstick Strap Lanyard, Adjustable Crossbody Shoulder Strap",8条四色肩带,177,1718.28,176,5.90,23,0,370,0,6,376,1×1×1,,白卡盒,,240,https://m.media-amazon.com/images/I/41u4iOXIoKL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H4GQMV11,X0055EOWK1,Trnjctayr 4 Pack Stackable Incline Riser Blocks for Walking Pad & Treadmill,,64,631.41,64,2.13,15,71,410,0,5,486,16.5×8×8,,,,180,https://m.media-amazon.com/images/I/51Zr1e86WOL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H4GRQNW5,X0055ER61N,Trnjctayr 4 Pack Stackable Incline Riser Blocks for Walking Pad & Treadmill,,4,67.96,4,0.13,9,37,120,0,0,157,16.5×16×8,17×9.5×15,,瓦楞盒,360,https://m.media-amazon.com/images/I/51tEkv4GklL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H4GSWH3T,X0055EK1VZ,Trnjctayr 4 Pack Stackable Incline Riser Blocks for Walking Pad & Treadmill,,2,28.98,2,0.07,6,42,120,0,0,162,16×13×8,18×9.3×12.2,,瓦楞盒,406,https://m.media-amazon.com/images/I/51ggJ0saAlL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H4GTCBH2,X0055NBKFR,"4 Pack Treadmill Incline Riser Blocks, Stackable Height Adjusters (4)",,8,55.93,8,0.27,5,86,0,0,4,90,14.5×8×8,,,,200,https://m.media-amazon.com/images/I/51u8ZH2fnOL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H4GWDVHD,X0055ET2KB,"8 Pack Treadmill Incline Riser Blocks, Stackable Height Adjusters (8)",,54,527.49,53,1.80,25,22,180,0,2,204,14.5×14×8,,飞机盒,,370,https://m.media-amazon.com/images/I/51u8ZH2fnOL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H5Q7T54W,X0055VG1XZ,"4 Pack Replacement Lid Compatible with Hydrojug 40 oz only, Replacement Flip Straw Lid for HydroJug 40 oz Tumbler (Beige + Pink + Navy Blue + Black)",,3,33.98,3,0.10,10,64,0,0,2,66,,,,,460,https://m.media-amazon.com/images/I/41uhu0NW8-L.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H5QB58R6,X0055VK5QJ,2 Pack Replacement Flip Straw Lid Only for HydroJug 40 oz Tumbler(NavyBlue),,0,0.00,0,0.00,2,57,0,0,0,57,23.5×12×4,,,,230,https://m.media-amazon.com/images/I/41sdNuVoxRL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H5QCYCV4,X0055VGZ4Z,2 Pack Replacement Flip Straw Lid Only for HydroJug 40 oz Tumbler (Pink),,55,701.46,55,1.83,4,0,280,0,1,281,23.5×12×4,,,,230,https://m.media-amazon.com/images/I/41WmpfPDmYL.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-08-07/f8d4abf4-dd78-4e6f-887b-c62809f3c02a.jpg,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H5RKCN5B,X0055WC4Z3,2-Pack Lid Opening Tool Compatible with Hydrojug Tumbler 32 oz & 40 oz Only,,26,284.81,25,0.87,30,22,128,0,50,200,21.8×5.8×1.7,,白卡盒,,100,https://m.media-amazon.com/images/I/31XXzolbPNL.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-08-07/76edddd7-093f-4e99-b12e-6372901f621c.jpg,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H5W4HJGM,X0055Y7GO5,2 Pack Replacement Flip Straw Lid Only for HydroJug 40 oz Tumbler (Cream),,44,558.57,44,1.47,11,2,240,0,2,244,23.5×12×4,,飞机盒,,230,https://m.media-amazon.com/images/I/41lx+GbRIrL.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-08-07/54353c83-f8ca-4bd3-8731-f0ec952ff69b.jpg,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H6TTFPPQ,X0056ET3IL,Stroller Snack Tray Attachment Compatible with Baby Jogger City Mini GT2,,0,0.00,0,0.00,0,0,85,0,15,100,,,,,618,https://m.media-amazon.com/images/I/41+GncVd8HL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H6V2TXYM,X0056F07RB,Heavy-Duty Air Cushion Strap Compatible with Veto Pro Pac Bags,,14,179.88,14,0.47,10,73,32,0,19,124,15×9×7,,飞机盒,,250,https://m.media-amazon.com/images/I/41bCuTFIJ+L.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-08-07/6415db66-8d42-4b1d-a208-427be1173f6e.jpg,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H6XH6KNV,X0056GE8HP,7-Piece Felt Drawer Organizer Compatible with IKEA Alex Drawers Unit,,6,67.96,4,0.20,3,27,12,0,13,52,,,,,,https://m.media-amazon.com/images/I/41sHtN+P3uL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H6XH6RLN,X0056GDUU1,7-Piece Felt Drawer Organizer Compatible with IKEA Alex Drawers Unit,,3,50.97,2,0.10,7,27,12,0,11,50,,,,,,https://m.media-amazon.com/images/I/41m39jHFTsL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H714P11S,X0056IC0OB,"2 Pack Universal Ebike Plate Compatible with Q20, S1/S2/Y1/RX, X1S/X/X2 etc",,0,0.00,0,0.00,0,0,0,0,0,0,,,,,,https://m.media-amazon.com/images/I/21-opJHw6bL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H7JL7WTR,X0056P5XZ7,Stainless Steel Inner Pot Compatible with CUCKOO CR-0675FW Rice Cooker,,2,0.00,2,0.07,0,0,84,0,36,120,,,,,900,https://m.media-amazon.com/images/I/31IFPVW9qGL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H7JQCJ61,X0056ZP6X1,Stainless Steel Inner Pot Compatible with Tiger JBV-A10U Rice Cooker,,1,0.00,1,0.03,0,0,44,0,16,60,,,,,500,https://m.media-amazon.com/images/I/31FH-eK-NFL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H7SJHR4W,X0056S5JYJ,"100PCS 3D Printer Clicker Insert, Note No Metal Pins, Blue Clicky Tactile",100个键盘轴,9,0.00,7,0.30,0,0,156,0,39,195,21.9×15.6×1.7,,塑料盒,,,https://m.media-amazon.com/images/I/51XFyP5SiXL.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-08-07/c67417ee-9dff-4f21-8051-ddb186f4da21.jpg,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H8LNWM5P,X00572WYLZ,Trnjctayr Kitten Bottle Feeding Kit for Newborn Puppy and Small Pets,,0,0.00,0,0.00,0,0,120,0,0,120,,,,,60,https://m.media-amazon.com/images/I/11p4A86BxOL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H8M2M3PP,X00572WBR7,Heavy Duty 420H Gold Chain 132 Link Compatible with Yozma IN10,,0,0.00,0,0.00,0,0,120,0,0,120,22.5×11×5,,,,1400,https://m.media-amazon.com/images/I/318kH6vj5CL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0H8RZQPVK,X00575XM6D,Heavy-Duty Sourdough Cooling Rack with Dough & Bench Scrapers,,0,0.00,0,0.00,0,0,120,0,0,120,43.5×28.7×2.7,,,,500,https://m.media-amazon.com/images/I/51YWtYT4RPL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
