店铺,ASIN,FNSKU,商品标题,中文标题,产品中文名,销量,销售额,订单数,日均销量,Vine赠品销量(已扣除),可售,入库中,不可售,预留,FBA总量,包装尺寸1(长×宽×高cm),包装尺寸2(长×宽×高cm),包装类型1,包装类型2,包装成本1(CNY),包装成本2(CNY),包装备注1,包装备注2,外箱尺寸1(长×宽×高cm),外箱尺寸2(长×宽×高cm),外箱最大装箱数1,外箱最大装箱数2,单品重量(g),图片URL,产品图片1,产品图片2,销售数据截止,库存数据截止
TZH-主店二号,B0GVXGBY1W,X00528GTSX,Silicone Replacement Leak-Proof Set Compatible with Ninja BlendBOSS Smoothie Blender Tumbler | 3-in-1 Protective Boot & Straw Stopper & Spill-Proof Lid Seal Ring for 26oz Travel Tumbler (Dark Blue),适用于 Ninja BlendBOSS 奶昔搅拌杯的硅胶防漏替换套装 | 三合一保护套、吸管塞和防漏盖密封圈，适用于 26 盎司旅行杯（深蓝色）,,0,0.00,0,0.00,0,1,0,0,1,2,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",,,,,67,https://m.media-amazon.com/images/I/31iQPOfKJHL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GVY49NQG,X005290VEP,"6 Pack Replacement Silicone Seal & Stopper Set Compatible with Ninja BlendBOSS Blender Tumbler 26OZ, 3 Leak-Proof Gaskets & 3 Spill-Proof Lid Stoppers, Food-Grade BPA-Free O-Ring Parts (Light Gray)",6 件装替换硅胶密封圈和塞子套装，兼容 Ninja BlendBOSS 搅拌杯 26 盎司，包含 3 个防漏垫圈和 3 个防溢盖塞，食品级不含 BPA 的 O 型圈部件（浅灰色）,,0,0.00,0,0.00,0,2,0,0,1,3,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",,,,,95,https://m.media-amazon.com/images/I/31TQze95JwL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GVY4B31K,X00529923B,"6 Pack Replacement Silicone Seal & Stopper Set Compatible with Ninja BlendBOSS Blender Tumbler 26OZ, 3 Leak-Proof Gaskets & 3 Spill-Proof Lid Stoppers, Food-Grade BPA-Free O-Ring Parts (Green)",6 件装替换硅胶密封圈和塞子套装，兼容 Ninja BlendBOSS 搅拌杯 26 盎司，包含 3 个防漏垫圈和 3 个防溢盖塞，食品级不含 BPA 的 O 型圈部件（绿色）,,0,0.00,0,0.00,0,0,0,0,0,0,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",,,,,95,https://m.media-amazon.com/images/I/4128kMNgbPL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GVY4DFMJ,X00529922R,"6 Pack Replacement Silicone Seal & Stopper Set Compatible with Ninja BlendBOSS Blender Tumbler 26OZ, 3 Leak-Proof Gaskets & 3 Spill-Proof Lid Stoppers, Food-Grade BPA-Free O-Ring Parts (Pink)",6 件装替换硅胶密封圈和塞子套装，兼容 Ninja BlendBOSS 搅拌杯 26 盎司，包含 3 个防漏垫圈和 3 个防溢盖塞，食品级不含 BPA 的 O 型圈部件（粉色）,,0,0.00,0,0.00,0,0,0,0,0,0,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",,,,,95,https://m.media-amazon.com/images/I/31dFWTURmRL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GVY78V83,X005293F6B,"6 Pack Replacement Silicone Seal & Stopper Set Compatible with Ninja BlendBOSS Blender Tumbler 26OZ, 3 Leak-Proof Gaskets & 3 Spill-Proof Lid Stoppers, Food-Grade BPA-Free O-Ring Parts (Purple)",6 件装替换硅胶密封圈和塞子套装，兼容 Ninja BlendBOSS 搅拌杯 26 盎司，包含 3 个防漏垫圈和 3 个防溢盖塞，食品级不含 BPA 的 O 型圈部件（紫色）,,0,0.00,0,0.00,0,3,0,0,2,5,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",,,,,95,https://m.media-amazon.com/images/I/31Rhw8tVQiL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GVYB51LC,X005298ZV1,"6 Pack Replacement Silicone Seal & Stopper Set Compatible with Ninja BlendBOSS Blender Tumbler 26OZ, 3 Leak-Proof Gaskets & 3 Spill-Proof Lid Stoppers, Food-Grade BPA-Free O-Ring Parts (Sky Blue)",6 件装替换硅胶密封圈和塞子套装，兼容 Ninja BlendBOSS 搅拌杯 26 盎司，包含 3 个防漏垫圈和 3 个防溢盖塞，食品级不含 BPA 的 O 型圈部件（天蓝色）,,0,0.00,0,0.00,0,0,0,0,0,0,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",,,,,95,https://m.media-amazon.com/images/I/41B9H0drThL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GVYT1NGB,X005293CFZ,"6 Pack Replacement Silicone Seal & Stopper Set Compatible with Ninja BlendBOSS Blender Tumbler 26OZ, 3 Leak-Proof Gaskets & 3 Spill-Proof Lid Stoppers, Food-Grade BPA-Free O-Ring Parts (Dark Blue)",6 件装替换硅胶密封圈和塞子套装，兼容 Ninja BlendBOSS 搅拌杯 26 盎司，包含 3 个防漏垫圈和 3 个防溢盖塞，食品级不含 BPA 的 O 型圈部件（深蓝色）,,0,0.00,0,0.00,0,1,0,0,1,2,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",,,,,95,https://m.media-amazon.com/images/I/41Vg1ysYlEL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GVYTYDKY,X0052C7LNB,"8 Pack Keychain Cap Compatible with Summer Fridays 0.5 Oz Lip Balm, Snug Fit Silicone Cap Cover with Key Ring, Lip Gloss Keychain for Women Purse, Backpack and Travel Accessories (No Lip Balm)",8 个装钥匙扣盖，兼容 Summer Fridays 0.5 盎司润唇膏，贴合紧密的硅胶盖，带钥匙环，唇彩钥匙扣，适用于女士钱包、背包和旅行配件（不含润唇膏）,,6,29.94,5,0.20,0,0,0,0,18,18,,,,,,,,,,,,,120,https://m.media-amazon.com/images/I/41vPGERAwTL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GWDQVFQ2,X0052FWHR3,"Stainless Steel Inner Pot Compatible with Aroma Rice Cooker, 2Qt",适用于 Aroma 电饭煲的 2 夸脱不锈钢内胆,,80,1402.39,79,2.67,0,0,176,0,18,194,19×19×11,,,,0.96,,"ARC-914SBD
https://detail.1688.com/offer/814977958807.html?spm=a360q.8274423%2Fnew.goods.productname",,50×40×40,,16,,340,https://m.media-amazon.com/images/I/31F-WbY9X9L.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GWFHTRCX,X0052FXRQN,"Stainless Steel Inner Pot Compatible with AROMA Rice Cooker, 5Qt",适用于 AROMA 电饭煲的 5 夸脱不锈钢内胆,,159,4174.57,157,5.30,0,0,433,1,56,490,24×15×24,,瓦楞盒,,1.26,,"ARC-150SB
https://detail.1688.com/offer/816334523911.html?spm=a360q.8274423%2Fnew.goods.productname",,50×48×49,,12,,550,https://m.media-amazon.com/images/I/31FDnrjImKL.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-08-07/e00e8a28-8f25-448b-adc5-056522e1e41d.jpg,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GWHHR895,X0052GBZ1L,Gripper Seat Cover Compatible with Yozma IN10 Electric Dirt Bike(Red),适用于 Yozma IN10 电动越野摩托车的防滑座套（红色）,,16,303.84,16,0.53,1,187,0,0,6,193,23×9×4,,,,0.76,,"蓝象黄
https://item.taobao.com/item.htm?id=669176211019&mi_id=0000hhhd33eoX9TrRy2_hWvjOAjzpbJbv0U5FwTKhYnrQEc&spm=tbpc.boughtlist.suborder_itemtitle.1.716d2e8doDe5ZF&skuId=4810171912505
",,,,,,122,https://m.media-amazon.com/images/I/41TBBuQsjCL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GWHY7DZR,X0052G8FHN,Gripper Seat Cover Compatible with Yozma IN10 Electric Dirt Bike(Black),适用于 Yozma IN10 电动越野摩托车的防滑座套（黑色）,,38,703.63,37,1.27,0,304,20,0,5,329,23×9×4,,,,0.76,,"蓝象黄
https://item.taobao.com/item.htm?id=669176211019&mi_id=0000hhhd33eoX9TrRy2_hWvjOAjzpbJbv0U5FwTKhYnrQEc&spm=tbpc.boughtlist.suborder_itemtitle.1.716d2e8doDe5ZF&skuId=4810171912505
",,,,,,122,https://m.media-amazon.com/images/I/41XMpvUbjfL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GWMTGJ45,X0052JAGOF,Gripper Seat Cover Compatible with Yozma IN10 Electric Dirt Bike(Orange),适用于 Yozma IN10 电动越野摩托车的防滑座套（橙色）,,2,35.98,2,0.07,0,41,0,0,0,41,23×9×4,23×9×4,,,0.76,0.76,"蓝象黄
https://item.taobao.com/item.htm?id=669176211019&mi_id=0000hhhd33eoX9TrRy2_hWvjOAjzpbJbv0U5FwTKhYnrQEc&spm=tbpc.boughtlist.suborder_itemtitle.1.716d2e8doDe5ZF&skuId=4810171912505
","蓝象黄
https://item.taobao.com/item.htm?id=669176211019&mi_id=0000hhhd33eoX9TrRy2_hWvjOGRZ09JLC7UuT2wqutPFd_Q&spm=tbpc.boughtlist.suborder_itemtitle.1.12ff2e8dWIfsnn&skuId=4810171912505",,,,,122,https://m.media-amazon.com/images/I/41I6YzkMpjL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GWZ1JMYS,X0052NZQ8R,Gripper Seat Cover Compatible with Yozma IN10 Electric Dirt Bike(White),适用于 Yozma IN10 电动越野摩托车的防滑座套（白色）,,31,559.71,31,1.03,0,137,0,0,11,148,23×9×4,,,,0.76,,"蓝象黄
https://item.taobao.com/item.htm?id=669176211019&mi_id=0000hhhd33eoX9TrRy2_hWvjOAjzpbJbv0U5FwTKhYnrQEc&spm=tbpc.boughtlist.suborder_itemtitle.1.716d2e8doDe5ZF&skuId=4810171912505
",,,,,,122,https://m.media-amazon.com/images/I/41q+ZTYGKzL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GXKN1R6F,X0052YNV7T,"Replacement Glass Straw Compatible with Ninja BlendBOSS Smoothie Blender Travel Tumbler, Reusable & Durable Clear Straw with Cleaning Brush Fit for Ninja BlendBOSS 26oz Cup (1 Pack)",适用于 Ninja BlendBOSS 搅拌机旅行杯的替换玻璃吸管，可重复使用且耐用的透明吸管，配有清洁刷，适用于 Ninja BlendBOSS 26 盎司杯子（1 件装）,,0,0.00,0,0.00,0,1,0,0,12,13,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",,,,,87,https://m.media-amazon.com/images/I/21KVaIoWJxL.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-04-17/3c2eed62-0463-4e11-903e-25522ee6fc30.png,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GXKNL93X,X0052YAT2J,"Replacement Glass Straw Compatible with Ninja BlendBOSS Smoothie Blender Travel Tumbler, Reusable & Durable Clear Straw with Cleaning Brush Fit for Ninja BlendBOSS 26oz Cup (2 Pack)",适用于 Ninja BlendBOSS 搅拌机旅行杯的替换玻璃吸管，可重复使用且耐用的透明吸管，配有清洁刷，适用于 Ninja BlendBOSS 26 盎司杯子（2 支装）,,0,0.00,0,0.00,0,4,0,0,2,6,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",,,,,112,https://m.media-amazon.com/images/I/31ABFzcgpKL.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-04-17/5a9b2ae7-260e-45bf-9364-3189d396711a.png,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GY94BD4W,X00539UWW5,Stainless Steel Inner Pot Compatible with Zojirushi NS-TSC10 Rice Cooker,适用于象印NS-TSC10电饭煲的不锈钢内胆,,86,2053.21,86,2.87,0,0,352,0,12,364,21×21×12,,瓦楞盒,,1.15,,"21*21;12cm 3层3mm
https://detail.1688.com/offer/814859779345.html?spm=a360q.8274423%2Fnew.goods.productname",,50×45×45,,16,,700,https://m.media-amazon.com/images/I/31JYhvIWCiL.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-08-07/523076f6-c01a-45df-94d6-269e0e6aea1b.jpg,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GYDS1VWD,X0053C1S9X,"24 Pack Charm Chain for Purse, Gold Swivel Snap Hook Keychain, Alloy Bag Charm Chain for DIY Jewelry Making",24条装钱包挂饰链，金色旋转按扣钥匙扣，合金包包挂饰链，适用于DIY珠宝制作,,36,143.64,32,1.20,0,0,0,0,3,3,9.5×6.5×1.6,,,,0.45,,https://detail.1688.com/offer/672142497121.html?_t=1778057855700&spm=a2615.7691456/2506.co_1_0_wangpu_score_0_0_0_0_0_0_0000_0.0,,,,,,120,https://m.media-amazon.com/images/I/51+85GJ-kPL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GYF9RK5Y,X0053EDTOD,"Card Grading Submission Kit for PSA, BGS, SGC, CGC with Foam Shipping Box",适用于PSA、BGS、SGC、CGC的卡片评级送评套装，含泡沫运输箱,,216,4157.92,200,7.20,0,47,484,0,50,581,25×19×10,,瓦楞盒,,1.06,,"规格型号: 长宽25*19;10cm 3层3mm
https://detail.1688.com/offer/818341603924.html?spm=a360q.8274423%2Fnew.goods.productname",,50×40×45,,16,,456,https://m.media-amazon.com/images/I/41ScUXPF+uL.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-08-07/95284ceb-8f31-4a58-b62f-1a0227f85e2a.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-08-07/195bc336-35c9-4002-aa27-46487ab5f607.jpg,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GZW586ZF,X0053ZHYD9,"Wearable Breast Pump Case Compatible with Eufy E20 S1, Holds 2 Pumps",可穿戴式吸奶器收纳盒，兼容Eufy E20 S1，可容纳2个吸奶器,吸奶器收纳盒,55,1079.46,55,1.83,0,53,190,1,80,324,17×10×250,,白卡扣底盒,,,,"优化为 25*10*19
170*100*250mm 350g单铜，300个-1.38元（含运输不含税）
https://detail.1688.com/offer/1068525614482.html?spm=a360q.8274423%2Fnew.goods.productname",,,,,,200,https://m.media-amazon.com/images/I/41B5ztFXA8L.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-08-07/8c38391e-ab1e-483d-b40a-d453de15201c.jpg,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0H25MK5M8,X0054DI2EP,"4 Pack Rear Shock Absorber Cover for eBike & Dirt Bike, 10.62 Inch",适用于电动自行车和越野自行车的4件装后减震器护套，10.62英寸,,22,219.78,20,0.73,0,102,0,0,0,102,15×11×6,28×11×4,,,,,蓝象黄 首选,蓝象黄,,,,,122,https://m.media-amazon.com/images/I/41dDjUKGLpL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0H35Z5GV8,X0054XFGDZ,8 Pack Clear Mahjong Card Sleeves Compatible with NMJL Scorecard,8个装透明麻将卡套，兼容NMJL记分卡,,152,1518.48,132,5.07,0,70,399,0,135,604,16×13.75×1.3,,自封PP袋,,0,,两个四个装合成八个装,,,,,,185,https://m.media-amazon.com/images/I/31wnZiFFW9L.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-08-07/7f62d04a-6097-42e8-9ad4-02de329b6ef1.jpg,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0H366YPGD,X0054XIHZT,12 Pack All-Around Protective Kit Compatible with Garmin Forerunner 165,12 件装全方位保护套装，兼容 Garmin Forerunner 165,,73,709.29,73,2.43,0,75,100,0,5,180,15.5×11.5×1.8,,,,0.95,,"
https://detail.1688.com/offer/746018663855.html?spm=a360q.7751291.0.0.3cb229a8Fy54uQ&sk=common",,,,,,40,https://m.media-amazon.com/images/I/41aYSxkrh2L.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0H36KW9N8,X0054XU4AF,"2 Pack Squeeze Dish Soap Dispenser, 12 oz Refillable Leak-Proof Bottle",2个装挤压式洗洁精分配器，12盎司可重复灌装防漏瓶,,208,1348.65,204,6.93,0,0,660,0,103,763,16×6×12,,白卡盒,,,,"120*60*160mm，350g单铜，300个-0.89元
https://detail.1688.com/offer/1068525614482.html?spm=a360q.8274423%2Fnew.goods.productname

",,,,,,100,https://m.media-amazon.com/images/I/31UCP+u4DSL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0H36NTQY2,X00552QZH1,22PCS Breast Pump Replacement Parts Compatible with Eufy E10/E20/S1/S1 Pro,22件套吸奶器替换零件，兼容Eufy E10/E20/S1/S1 Pro,Eufy 配件组合,121,2259.81,119,4.03,23,0,594,0,3,597,18.5×12.5×4.2,,塑料盒,,1.35,,"https://detail.1688.com/offer/978444773492.html
规格型号: 小号1842长方盒 18.5*12.5*4.2CM",,40×40×40,,54,,195,https://m.media-amazon.com/images/I/41weYSmFiaL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0H36VYNDC,X0054XY56T,"2 Pack Blank Needlepoint Canvas 13 Mesh 19"" x 17"", Cotton Embroidery Fabric",2 包空白针绣画布，13 目，19 英寸 x 17 英寸，棉质绣布,,77,1124.25,71,2.57,0,131,296,0,85,512,5×5×44,,,,1.2,,"50*50*440mm-300个1.2元/pcs
https://detail.1688.com/offer/1068525614482.html?spm=a360q.8274423%2Fnew.goods.productname",,,,,,181,https://m.media-amazon.com/images/I/31PhzghMXQL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
